5,up
10,up
12,down
78,down
80,down
81,down
83,down
84,up
87,down
88,down
89,down
92,down
93,down
94,down
96,up
98,up
99,up
101,up
103,up
104,down
106,up
107,up
108,down
109,up
111,down
112,up
113,down
116,down
117,up
118,down
120,down
122,down
123,down
124,up
125,down
127,up
128,up
130,down
131,up
132,down
133,up
135,down
136,up
137,down
139,down
141,up
142,up
144,down
145,up
146,down
147,up
149,up
150,down
151,up
152,up
153,down
154,up
155,down
156,up
157,down
158,up
159,down
160,up
161,down
163,down
164,up
165,down
166,up
168,down
170,up
171,down
173,up
175,up
176,down
178,up
179,up
180,down
181,up
182,down
183,up
184,down
185,up
186,down
187,up
188,down
189,up
190,down
191,up
192,down
194,up
195,down
197,down
198,up
199,down
200,up
202,down
204,down
206,down
207,up
208,down
209,up
210,down
212,up
213,down
214,up
217,up
218,down
219,down
221,up
222,up
223,down
224,up
226,down
227,down
228,up
229,down
231,up
232,up
236,up
237,down
240,up
241,down
244,down
246,down
247,up
251,down
253,up
254,up
255,up
256,up
257,up
258,up
259,up
260,down
262,up
263,down
264,up
265,up
268,up
269,up
270,up
274,up
275,up
276,up
277,down
278,up
279,up
280,up
281,up
286,down
287,down
288,up
289,up
291,down
292,down
293,down
294,up
295,down
296,down
297,down
298,down
299,up
301,down
302,down
303,up
304,up
305,down
306,up
307,down
308,up
309,up
310,up
